,year,bodyStyle,mileage,price,counts,ave_mile,ave_price
134,2006.0,Convertible,17052050.0,3982008.0,236,72254.44915254238,16872.915254237287
135,2006.0,Coupe,26588976.0,6114678.0,324,82064.74074074074,18872.462962962964
136,2006.0,Crew Cab Pickup,79538605.0,8013642.0,573,138810.82897033158,13985.413612565446
137,2006.0,Extended Cab Pickup,30579380.0,2383822.0,228,134120.08771929826,10455.359649122807
138,2006.0,Hatchback,7615073.0,372246.0,66,115379.89393939394,5640.090909090909
139,2006.0,Minivan,14751444.0,513149.0,104,141840.8076923077,4934.125
140,2006.0,Passenger Van,1765923.0,208637.0,16,110370.1875,13039.8125
141,2006.0,Regular Cab Pickup,8693920.0,675466.0,77,112908.05194805194,8772.285714285714
142,2006.0,SUV,131050859.0,8664067.0,1010,129753.32574257426,8578.284158415841
143,2006.0,Sedan,96931778.0,6199464.0,819,118353.8192918193,7569.553113553114
144,2006.0,Wagon,10481707.0,608999.0,93,112706.52688172043,6548.376344086021
145,2007.0,Cargo Van,845913.0,123277.0,10,84591.3,12327.7
146,2007.0,Convertible,16589891.0,4189135.0,234,70896.97008547008,17902.286324786324
147,2007.0,Coupe,31874643.0,7242950.0,398,80087.04271356783,18198.366834170854
148,2007.0,Crew Cab Pickup,82233213.0,9799180.0,627,131153.44976076554,15628.676236044657
149,2007.0,Extended Cab Pickup,30188174.0,2672857.0,237,127376.26160337553,11277.877637130801
150,2007.0,Hatchback,11423561.0,578096.0,102,111995.69607843137,5667.607843137255
151,2007.0,Minivan,12505935.0,567207.0,93,134472.4193548387,6099.0
152,2007.0,Passenger Van,933257.0,77164.0,7,133322.42857142858,11023.42857142857
153,2007.0,Regular Cab Pickup,10646919.0,896771.0,93,114483.0,9642.698924731183
154,2007.0,SUV,201471509.0,16262494.0,1545,130402.271197411,10525.886084142396
155,2007.0,Sedan,122701545.0,8195512.0,1069,114781.61365762395,7666.521983161833
156,2007.0,Wagon,9553419.0,565079.0,85,112393.16470588236,6647.988235294118
157,2008.0,Cargo Van,1227361.0,151297.0,12,102280.08333333333,12608.083333333334
158,2008.0,Convertible,18090777.0,7211753.0,281,64379.989323843416,25664.601423487544
159,2008.0,Coupe,34962827.0,8472601.0,449,77868.21158129176,18869.935412026727
160,2008.0,Crew Cab Pickup,94541968.0,12814920.0,753,125553.74236387783,17018.48605577689
161,2008.0,Extended Cab Pickup,28104448.0,3153437.0,238,118085.91596638656,13249.735294117647
162,2008.0,Hatchback,13995661.0,920579.0,134,104445.23134328358,6869.992537313433
163,2008.0,Minivan,18441831.0,1008462.0,144,128068.27083333333,7003.208333333333
164,2008.0,Passenger Van,1022761.0,186716.0,11,92978.27272727272,16974.18181818182
165,2008.0,Regular Cab Pickup,11338669.0,1417950.0,112,101238.11607142857,12660.267857142857
166,2008.0,SUV,214607570.0,20822991.0,1772,121110.36681715575,11751.123589164785
167,2008.0,Sedan,132442664.0,10962620.0,1232,107502.16233766233,8898.23051948052
168,2008.0,Wagon,11434593.0,808029.0,106,107873.51886792453,7622.915094339623
169,2009.0,Cargo Van,505582.0,67939.0,5,101116.4,13587.8
170,2009.0,Convertible,9262722.0,3805516.0,141,65693.06382978724,26989.475177304965
171,2009.0,Coupe,26317165.0,8304117.0,372,70745.06720430107,22322.895161290322
172,2009.0,Crew Cab Pickup,55687739.0,8808024.0,488,114114.21926229508,18049.22950819672
173,2009.0,Extended Cab Pickup,19117093.0,2336557.0,169,113118.89349112425,13825.781065088757
174,2009.0,Hatchback,14226764.0,1020046.0,146,97443.5890410959,6986.6164383561645
